"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20","Sample21","Sample22","Sample23","Sample24","Sample25","Sample26","Sample27","Sample28","Sample29","Sample30","Sample31","Sample32","Sample33","Sample34","Sample35","Sample36","Sample37","Sample38","Sample39","Sample40","Sample41","Sample42","Sample43","Sample44","Sample45","Sample46","Sample47","Sample48","Sample49","Sample50","Sample51","Sample52","Sample53","Sample54","Sample55","Sample56","Sample57","Sample58","Sample59","Sample60"
"Gene1424",-0.046,0.1585,-0.646,0.3412,-0.4114,0.2085,-0.8702,-1.2953,-0.3303,-0.0815,0.2195,-0.0019,0.0559,0.1848,-0.3468,0.9724,0.8284,-0.0368,-0.1002,-0.8469,0.4424,0.1167,-0.3861,-0.5233,-1.5329,-1.0529,0.5265,0.0365,0.2777,-0.6517,-1.0037,-0.2343,-0.3693,0.0171,-0.5671,-0.4194,0.1629,-0.3049,-0.0902,-0.1952,-0.5363,-1.002,-0.1761,-0.3368,-0.5781,0.4029,-0.5679,-0.4581,0.1955,-0.6518,0.5614,0.4899,-1.3405,-1.2543,1.7213,-0.0328,0.286,-1.4166,-0.27,-0.0021
"Gene1425",-0.2529,-0.3679,0.0269,-0.4973,0.091,-0.1972,-0.2147,-0.0421,0.2758,0.3033,-0.2272,-0.0355,0.092,0.1298,-0.0086,-0.0567,-0.1886,-0.4068,-0.9516,-0.579,-0.379,0.3122,-0.0181,0.182,0.5105,-0.5607,-0.3136,0.6731,-0.1738,-0.0754,0.4697,-0.3973,-0.0908,0.0891,-0.2054,0.5984,-0.3363,0.1992,-0.1302,0.0279,0.1254,-0.9278,-0.1973,-0.1396,-0.2242,-0.3338,-0.1165,0.1271,0.206,0.2743,7e-04,-0.2757,0.3937,0.26,-0.3543,-0.2276,-0.0687,-0.3021,0.4858,-0.0718
"Gene1426",-0.2273,-0.2719,0.7041,0.1159,0.1265,0.1532,0.0065,0.0593,0.0549,-0.1811,0.1318,0.2143,-0.13,-0.3611,-0.1835,0.0891,0.0173,-0.3872,0.0897,0.1225,0.9723,0.141,0.2198,-0.8054,-0.2427,-0.1937,0.2607,0.0867,0.0134,-0.2772,-0.389,-0.2569,0.868,0.4809,-0.3419,-0.3753,0.3603,-0.2818,-0.6038,0.0866,0.2027,0.1791,0.2137,-0.241,0.5211,-0.246,-0.0281,0.0439,0.3039,-0.063,0.385,-0.3538,-0.3653,0.816,-0.2012,-0.0827,-0.4594,-0.0533,-0.0991,0.1811
"Gene1427",-0.0061,0.1155,0.5568,0.2486,-0.4325,-0.2857,-1.7571,-0.3283,0.3649,0.1564,0.5171,-0.0895,-0.8513,1.6238,0.0486,-0.2335,-0.3957,-0.7693,0.024,-0.4704,-0.0195,0.6622,0.2909,0.3395,-0.3505,-0.0211,-0.6696,-0.5879,0.2021,0.697,-0.232,-0.2694,-0.211,-0.4194,1.0426,-1.2421,-0.5406,0.015,0.2543,0.1148,0.5346,0.2692,0.6747,0.265,0.5185,-0.4817,-0.4385,-0.8733,0.9434,-0.7707,0.0028,-0.8746,0.1451,-1.2038,1.1525,0.8294,0.7648,-0.2057,-0.084,0.4888
"Gene1428",-0.9102,-0.1154,0.5258,-0.306,0.4561,0.3218,0.1528,0.0899,-0.4002,-0.7489,-0.4767,0.0233,-0.0623,0.6305,0.0764,-0.1034,0.8083,-0.5599,0.0195,0.4326,-1.4574,-0.0896,-0.3847,-1.3812,0.7396,0.8625,0.77,0.2588,-0.463,0.2271,-0.1624,0.0119,0.822,1.086,0.6659,0.8662,0.0994,-0.2739,-0.2175,0.4844,-0.1528,0.6636,0.8575,0.098,-0.9496,0.1046,0.1072,0.1372,0.429,-0.6358,-0.3813,-0.4217,0.545,-0.1721,-0.9203,-1.4497,0.1519,0.3804,-0.2954,0.7417
"Gene1429",0.134,-0.4436,0.1076,-0.1421,-0.4683,-0.3071,0.0232,-0.3712,0.2561,0.0388,0.6375,0.0981,0.4028,-0.3649,0.5435,0.1551,-0.3877,0.3573,-0.2016,-0.2457,-0.001,0.0987,-0.1658,-0.2866,0.0226,-0.5422,-0.0512,-0.0831,0.0374,-0.365,0.4509,0.0071,-0.3569,-0.3339,-0.3333,-0.2317,0.1656,-0.4221,-0.2735,0.6142,-0.033,0.0444,0.0918,0.1005,-0.0962,0.3471,-0.1994,-0.2697,-0.0296,-0.475,0.3974,-0.1493,0.0388,0.1454,0.282,-0.1147,0.5638,-0.4305,-0.4524,-0.3223
"Gene1430",-0.1123,-0.8015,-0.0584,-0.4669,-0.0873,0.5875,-0.0556,0.6385,0.3049,0.344,-0.2434,-0.6401,0.262,-0.3031,0.4619,-0.3552,0.3846,-0.2929,-0.9115,-0.3852,-0.2633,-0.0754,-0.1894,0.4657,-0.3146,-0.5742,-0.3571,-0.4318,0.9377,-0.4495,-0.4417,-1.0175,0.8456,0.4661,1.0537,-0.903,-0.5066,0.4478,0.2026,-0.1631,1.2743,-0.7435,0.2229,0.1288,-0.1265,0.4093,0.0634,0.0167,0.2521,1.1443,-0.4048,0.3823,1.0471,0.1253,-0.666,0.3741,-0.3906,-0.6055,0.5082,-0.3446
"Gene1431",0.4972,-0.1365,-0.2095,-0.2235,-0.016,-0.0606,0.1134,-0.1566,-0.0509,-0.4991,-0.1418,0.0703,0.4792,-0.4459,0.5529,-0.0933,-0.0519,-0.1193,-0.2099,-0.0026,0.2107,-0.2724,-0.2183,0.189,0.0567,-0.1,-0.4106,-0.1334,-0.6133,-0.5673,0.429,-0.1274,0.1093,0.1208,-0.5156,0.0087,0.0143,-0.3182,-0.1127,-0.0938,0.273,-0.1656,0.1458,0.2171,-0.0369,-0.0135,-0.2974,-0.1243,0.0274,0.3156,-0.2657,0.3382,0.2314,0.6781,0.0892,0.1848,0.0671,-0.3067,-0.1553,-0.4823
"Gene1432",-0.4339,-0.3631,-0.4,0.2443,-0.4256,-0.0938,0.1461,-0.1922,-0.0628,0.1476,-0.2464,-0.3448,-0.1522,-0.8872,0.4588,0.4002,-0.7778,0.5946,-0.1102,0.0662,-0.7878,0.1368,-0.4911,-0.2522,-0.5363,0.1572,-0.1249,-0.2755,0.3973,0.1708,0.2557,0.5646,0.0156,-0.9219,0.5905,-0.0839,0.0247,0.1797,-0.2889,-0.1136,-0.5401,-0.1098,-0.1542,0.1108,-0.134,0.5381,-0.3044,-1.0044,-0.0981,-0.1334,-0.4364,0.0376,0.2485,0.0958,0.4444,0.1862,0.6837,-0.0818,-0.3655,-0.3055
"Gene1433",0.9378,-0.4741,-0.193,0.174,-0.0237,0.1726,0.0679,-0.7629,0.1981,0.0738,0.0148,-0.2852,0.1957,0.3482,0.9535,-1.0929,-1.2373,0.3034,0.3911,-0.8861,0.377,-0.0601,-1.0681,0.6138,0.072,-0.5945,0.5727,-1.5036,-0.3126,-0.0021,-0.8594,-0.3265,-0.1014,-0.314,0.7925,-0.3382,-0.3897,0.1883,0.1508,0.6435,-0.3257,0.155,0.6183,0.0463,-0.1283,0.9447,0.2106,-0.0202,-0.0773,-0.3528,0.8406,0.0027,0.4697,-1.0447,0.4661,0.3929,-0.6571,-0.1888,-0.213,0.2428
"Gene1434",-0.0527,0.0934,0.5263,-0.3387,0.4255,-0.0912,-0.087,0.0278,-0.1833,-0.0785,-0.3016,-0.1168,-0.1859,0.4412,-0.2446,-0.3913,0.0366,-0.3239,-0.0124,0.3874,0.0754,0.0207,0.4609,0.4464,0.3193,-0.0688,-0.2734,-0.0281,-0.2051,0.2346,0.1162,-0.2267,0.4907,0.1474,0.4024,0.366,-0.0047,0.1577,0.1655,-0.4403,0.2141,0.0511,-0.0237,0.2009,-0.1455,-0.2096,-0.2108,0.4655,0.4175,0.2661,0.132,-0.2272,-0.1222,0.4122,-0.7512,0.3068,-0.3258,0.0903,0.5363,0.4236
"Gene1435",0.0493,0.1215,-0.2891,-0.3554,0.155,-0.0064,-0.6086,0.5745,0.517,0.3002,-0.1357,0.2397,-0.349,0.0321,-0.3572,-0.1481,-0.275,-0.6689,0.136,0.2128,0.0978,-0.6749,-0.3505,-0.5498,-0.0128,0.5893,-0.2259,-0.211,0.3011,0.339,-0.4608,-0.3907,0.0853,-0.1767,0.8164,-0.3066,-0.0419,0.1441,-0.2831,-0.5106,-0.4903,0.0312,-0.1366,0.6094,-0.1309,-0.0034,-0.1827,-0.3504,0.5963,0.2268,0.0103,-0.0559,-0.1462,-0.2623,0.6449,-0.0466,-0.2366,-0.2238,0.4181,-0.2452
"Gene1436",0.1915,0.2025,-3e-04,0.189,0.2044,0.089,0.141,0.1849,0.4478,0.164,0.0174,0.0936,0.0111,0.5529,0.3628,0.0514,0.1197,-0.1316,0.0835,0.1203,0.4495,0.0249,-0.2523,0.5133,0.0799,0.2707,-0.0428,0.3253,-0.5153,0.1338,0.2962,0.6025,0.4762,0.5612,0.4172,-0.2339,0.5743,0.3354,-0.0098,0.3276,0.4343,0.6919,0.4652,-0.3723,0.014,0.1686,0.3176,-0.1113,0.1123,0.0366,-0.177,0.0303,0.1916,-0.0107,-0.186,0.4005,-0.3488,0.3514,-0.33,-0.0178
"Gene1437",0.7207,0.1038,-0.282,0.5731,0.5281,-0.2362,1.1676,0.0843,-0.158,-0.4298,0.5701,-0.7315,-0.654,0.1937,-1.0268,-0.296,-0.8698,-0.0151,0.0651,0.0301,0.577,0.1447,-0.8254,0.4154,0.0953,0.1224,-0.2747,-1.0108,0.264,-0.5985,-0.78,0.1867,-0.3418,0.4812,-0.1207,0.0821,0.1844,-0.0178,-0.2402,0.2256,-0.2454,1.0005,-0.2986,-0.058,0.6434,0.0871,0.5065,0.6784,0.3612,0.3885,0.3794,0.3806,-0.2509,-0.8549,-0.2426,-0.8429,-0.0052,0.4961,0.0821,-0.2652
"Gene1438",0.2688,0.1589,-0.2713,0.0229,0.0504,0.4073,-0.448,0.5161,-0.8723,-0.9239,-0.0701,-0.8019,-0.8332,-0.137,-0.2699,-0.449,0.1502,-0.5221,-0.1103,0.0943,0.2051,-0.3477,-0.1411,1.12,0.2847,0.3103,-0.2037,0.0687,-0.9021,0.3634,-0.5623,0.0124,0.1908,0.5714,0.3978,0.0297,-0.3252,0.4093,0.8026,-0.2708,0.0335,0.0941,0.1979,-0.4928,-0.7287,0.1031,0.2258,-0.1036,0.0984,0.7897,-0.3,-0.4466,-0.6051,-0.3395,-0.789,0.1607,-0.9075,0.4892,-0.188,0.0712
"Gene1439",-0.1951,-0.2536,0.0526,-0.0585,-0.0678,-0.0828,0.649,-0.6617,-0.0384,-0.1408,0.3892,0.076,0.0273,-0.1933,7e-04,-0.4189,-0.5682,0.0616,-0.4975,-0.0356,-0.1973,0.6128,0.4291,0.4383,-0.1792,0.0744,-0.1931,-0.065,0.1343,-0.1847,-0.2309,-0.0017,-0.7395,-0.1582,0.2487,0.6299,-0.3713,-0.1693,-0.7589,0.1003,-0.2285,-0.1487,-0.2623,-0.1679,0.189,-0.0271,0.2731,-0.292,-0.3071,-0.3915,0.3879,-0.72,-0.0721,0.1845,-0.3649,-0.2656,-0.194,-0.2942,-0.5039,3e-04
"Gene1440",-0.6313,0.4441,0.0731,0.2953,0.2996,-0.4159,-0.1888,-0.187,0.1557,0.0946,-0.2569,-0.272,-0.7059,-0.5277,0.1009,0.0205,-0.2637,-0.0211,-0.2904,0.4282,0.1371,-0.434,0.3076,0.0427,-0.4435,-0.4751,0.0383,0.393,-0.0073,-0.3474,0.0514,0.311,-0.6407,-0.6874,0.073,-0.5539,-0.0888,-0.2398,-0.3218,-0.2902,0.167,0.6969,0.2768,0.0437,-0.185,0.2671,-0.095,-0.0485,0.4148,-0.4911,0.1252,-0.0793,-0.1721,-0.7476,0.1813,0.2018,0.8249,0.1211,0.236,0.0995
"Gene1441",0.5376,0.2028,0.2862,-0.8178,-0.076,0.2331,-0.3762,-0.6604,0.2734,-0.4673,-0.5472,-0.1135,-0.4647,0.4228,0.8784,-0.4419,-0.0153,0.5354,0.104,-0.2128,0.1376,0.1848,-0.3095,-0.0988,-0.0056,0.1189,0.0447,-0.3547,0.3748,-0.0446,0.4993,0.0364,0.1488,-0.2928,-0.0406,-0.6534,0.1265,-0.556,-0.058,0.2478,0.0217,-0.0205,-0.2533,0.4034,0.069,-0.3646,0.614,-0.2054,-0.3727,-0.4424,-0.6562,0.122,-0.1859,0.1325,-0.4172,-0.1202,0.2079,-0.4471,-0.1899,-0.1365
"Gene1442",-0.0777,0.575,-0.571,0.1248,-0.1432,-0.0083,-0.1438,-0.553,-0.6056,-0.0502,0.178,-0.4431,0.6835,-0.5467,0.2736,-0.3219,0.0393,-0.0601,0.2021,-3e-04,0.105,-0.3485,-0.0999,-0.5021,-0.0966,0.4035,0.3984,-0.1219,-0.251,0.2569,-0.1793,-0.0443,-0.336,-0.0068,0.4408,-0.4259,0.3082,-0.2226,0.2472,-0.2308,-0.6163,-0.0591,-0.0627,0.2261,0.0689,0.1546,-0.9939,-0.3139,-0.1388,0.0052,-0.351,0.7654,-0.2755,-0.0681,0.4272,0.0871,-0.2173,0.2173,-0.1613,-0.1281
"Gene1443",-0.0941,0.0279,-0.1786,0.1157,0.1075,0.5673,0.7871,-0.4791,-0.3854,-0.2431,0.6165,-0.4769,-0.0753,0.0971,0.232,-0.205,0.1669,-0.2161,-0.1806,0.106,-0.0598,-0.3842,0.2143,0.0844,-0.1341,-0.0035,0.4685,-0.25,0.4008,0.1135,-0.1805,0.1655,0.1194,-0.0666,-0.2287,-0.5414,0.6917,0.4693,-0.2132,0.1508,-0.5184,0.0718,0.1905,-0.127,-0.5119,0.528,-0.5515,-0.2144,-0.3292,0.0542,-0.2186,-0.1563,-0.2946,-0.3796,-0.3538,0.1877,0.1286,0.7126,-0.3383,0.2796
"Gene1444",-0.2422,0.726,0.4254,0.1173,0.3323,0.0116,-0.4281,0.6406,0.5339,0.0714,-0.3357,-0.3437,-0.7833,0.3105,-0.8657,0.1254,-0.6203,0.1373,0.5428,-0.469,0.0624,0.1691,-0.3519,0.4147,0.1574,-0.3825,0.5005,0.2034,-0.1832,0.4446,0.7457,-0.5517,0.1887,-0.2346,0.2699,-0.1086,0.7846,-0.3802,0.223,0.087,-0.1414,-0.2279,-0.0918,0.666,0.4471,-0.4474,0.1029,1.2889,0.1431,0.3348,0.2209,-1.2661,0.0932,0.6614,0.5187,0.4258,-0.5193,-0.2261,-0.4102,0.9861
"Gene1445",0.0101,0.0028,-0.2895,-0.1699,0.2256,0.3732,-0.2385,0.1268,0.2109,0.0719,-0.0024,-0.0586,-0.252,0.1364,-0.109,-0.3892,0.0298,0.5491,-0.384,-0.3261,0.3834,-0.0794,0.3775,-0.0801,-0.8035,0.3792,-0.586,0.0523,-0.0971,0.0245,0.3457,0.0952,-0.1171,0.004,-0.238,0.2475,-0.3085,-0.0487,-0.2814,-0.0599,0.5351,-0.5514,-0.1524,0.1045,-0.2599,0.1795,-0.314,0.1671,-0.5097,-0.2055,-0.1949,-0.1686,0.1853,0.052,0.1831,-0.0715,0.078,0.0133,-0.0776,0.1949
"Gene1446",-0.2587,-0.0359,0.1273,-0.2257,0.0073,-0.4101,-0.0972,-0.1548,-0.4619,0.0774,-0.1344,0.0377,-0.1286,-0.4335,0.3863,0.1695,-0.3226,-0.3975,0.1085,0.3566,0.4551,-0.5717,-0.4251,-0.2562,0.3089,-0.352,0.9721,0.5892,0.4334,0.1685,-0.0175,0.0792,0.357,0.2876,-0.1431,0.2764,0.125,0.3611,0.108,-0.0759,0.5094,-0.155,0.0513,-0.4703,0.0176,-0.4372,0.0812,0.2998,0.1462,-0.2464,-0.1113,-0.2287,-0.0294,0.0615,-0.229,-0.3176,-0.0971,-0.1291,0.1878,-0.0051
"Gene1447",0.048,-0.1729,1.2946,1.0357,0.0465,-0.1872,-0.9061,0.1103,-1.2635,-0.5598,0.329,-0.9781,-0.5105,0.0528,-0.7618,0.0161,0.1189,0.1555,-0.7532,0.1092,-0.3731,-1.9363,-0.6971,-0.1436,-1.324,0.4853,-0.5239,-0.7436,0.2215,-0.9766,-0.0099,-0.0086,0.3803,0.7162,0.018,-0.4751,-0.401,-0.2933,1.6159,-0.012,1.1888,-0.2632,0.2431,0.3654,1.1797,-0.2014,-0.4395,-0.465,0.8791,-0.5277,-0.2662,0.039,-1.6323,-0.5842,-0.551,0.131,1.2208,0.0182,-0.8637,-0.7669
"Gene1448",0.0779,0.8918,-0.9713,-0.5023,-0.3322,-0.2719,1.0578,0.6406,-0.2904,2.0874,-1.3641,-0.5875,0.7061,-0.4165,-0.5904,-1.2301,0.7503,0.781,0.0816,-0.0059,1.5749,-0.2382,-0.1828,1.1333,-2.8611,0.3112,-0.2882,-0.5705,-1.2055,-0.2721,-0.5609,-1.1509,1.0193,-0.5357,-2.2624,0.5795,-0.3166,-1.2268,-0.4721,-0.7273,0.7487,1.6763,0.6487,-2.6418,-0.0649,-1.8106,0.3882,-0.1367,2.419,-0.0131,-0.7651,-0.7805,-0.9198,0.055,-0.3614,-0.8198,-0.4709,-0.6828,-0.5674,1.0634
"Gene1449",-0.0428,0.105,0.0842,0.1142,-0.3874,-0.2116,-0.3412,0.0183,-0.2275,0.0228,0.0594,-0.1094,0.2924,-0.046,-0.1459,-0.0963,0.093,0.0156,-0.0842,-0.3957,0.0995,0.1551,0.3058,-0.2562,-0.1327,0.2444,-0.0578,0.1575,0.0972,-0.0338,-0.2141,-0.1595,0.3419,0.2186,0.3812,-0.058,-0.101,-0.1623,-0.0814,0.4225,0.1927,0.0082,-0.0264,0.2833,0.2767,-0.1552,-0.2147,-0.2384,-0.0231,-0.1,0.5003,-0.1053,-0.0384,0.0839,-0.3723,-0.3072,0.3694,0.1125,-0.1305,-0.0227
"Gene1450",0.1746,0.1762,-0.3037,0.1103,0.0256,-0.0798,-0.1074,0.2157,-0.0591,-0.4902,-0.2288,-0.1145,-0.1057,-0.0493,-0.1235,0.1961,0.2643,0.0377,0.1358,-0.1764,-0.1271,-0.2808,-0.0015,-0.005,-0.3542,-0.1802,0.0798,-0.0391,-0.1053,-0.098,-0.2539,-0.4176,0.4771,0.0876,-0.1459,0.1957,-0.257,-0.1452,-0.3092,-0.356,-0.1456,0.0982,-0.1886,-0.1578,0.4134,-0.1481,0.034,-2e-04,-0.4033,-0.0048,0.0409,8e-04,-0.2507,0.0588,-0.0078,-0.2558,-0.1432,-0.4098,-0.2843,0.0353
"Gene1451",0.5116,0.7015,-0.5728,0.7155,0.6257,0.8797,0.4839,0.5824,-0.778,-0.6725,-0.6803,-0.3561,0.4446,0.7224,-0.4725,-0.8495,0.9571,-1.1629,0.7176,0.7168,1.1296,0.3626,-0.3554,0.646,0.2547,0.7061,0.1336,0.9091,-1.1212,1.1498,-0.5614,0.4858,0.1076,0.4032,0.5061,-0.0511,0.1305,1.0123,0.9684,-0.5709,-0.5938,0.8264,0.5697,-0.7014,-0.5199,0.5534,-0.3402,0.9177,0.3496,1.4921,-1.2915,-0.0265,-0.6482,-0.0934,-0.9292,0.4109,-0.9642,0.841,0.1419,0.2975
"Gene1452",-0.2211,0.1228,-1.7174,-0.3844,0.593,1.077,0.4832,-0.2891,0.2448,0.0667,0.0012,0.1099,-0.8175,0.4922,-1.4685,-0.3291,-0.6658,-1.5944,0.7501,-0.0801,1.0831,-1.02,0.07,-1.6836,-0.5778,-0.7866,-0.8318,-0.6087,-1.0174,0.1348,-0.5587,0.1293,0.5189,1.0792,0.4582,-0.2915,-2.022,-0.0317,0.1782,-0.3416,-0.5451,-2.6679,-0.9184,-1.1246,0.4087,0.6099,0.8454,0.0296,-0.1896,0.1924,-1.2502,0.4081,-1.1368,1.0761,0.8777,1.0089,0.9984,-0.0374,0.3657,0.689
"Gene1453",-0.3063,0.0923,-0.0425,-0.2245,0.0862,0.2754,-0.4467,0.1756,-0.4476,0.364,0.5487,-0.4336,0.1034,0.1481,0.0463,0.0772,0.0352,-0.4198,1.0745,0.4457,0.2738,-0.0335,-0.5641,0.9987,-0.2957,-0.0979,0.149,-0.2593,-0.1146,-0.3105,-0.096,-0.3676,0.0608,-0.1254,-0.4071,0.2068,0.0344,0.2781,0.0577,0.5674,-0.382,-0.7682,-0.7527,0.574,-0.5288,-0.2647,0.7047,0.1469,-0.4767,-0.5536,-0.3258,0.474,-0.3772,0.3831,0.5011,0.5569,-0.043,-0.338,-0.4474,0.4588
"Gene1454",0.2458,0.1382,-0.1215,-0.2778,0.9677,-0.0633,0.2956,-0.0873,0.139,0.3475,-0.0351,0.0251,0.1239,-0.1589,-0.2573,-0.1108,0.1755,0.0702,0.2007,0.0818,-0.2097,-0.4512,-0.4371,0.1578,-0.295,-0.04,0.0947,-0.0605,-0.0778,-0.0677,-0.0926,0.0045,-0.4928,-0.2114,0.0082,-0.4266,-0.0516,0.0526,-0.0666,0.245,-0.0868,-0.0272,-0.2582,-0.3168,0.1522,-0.428,-0.4923,0.4556,0.3053,-0.1547,0.0416,0.0335,-0.0738,0.0317,0.3631,-0.3338,-0.0361,0.0932,0.0572,-0.2653
"Gene1455",-0.2378,-0.4017,-0.6047,-0.7309,-0.7135,-0.2195,0.6893,-0.2524,-0.0963,-0.9423,-0.2151,0.3417,-1.109,0.7374,0.2606,-0.2752,-0.522,0.6524,0.0874,-0.7487,0.0319,-0.5565,0.5424,-0.4176,0.3805,0.1907,0.3377,0.0791,0.0653,0.6586,-0.0728,0.3684,-0.5506,0.281,-0.5405,-0.3438,-0.8788,-0.7251,-0.4586,-0.1356,-0.5042,1.0609,-0.6372,0.2273,-1.1217,0.4235,0.2944,0.3017,-0.1725,0.0929,-0.7588,0.4858,-0.2909,-0.2278,-0.1842,-0.0831,-0.959,0.181,-0.9888,-0.2164
"Gene1456",-0.2145,0.4269,0.1257,-0.081,-0.4974,0.3795,-0.7924,-0.7532,0.0015,-0.04,-1e-04,0.5234,0.1738,-0.217,0.624,0.1361,-0.5964,-0.2367,0.657,-0.3082,0.0272,-0.258,-0.4235,-0.075,0.9056,0.8431,-0.0313,-0.5947,0.1315,0.1302,-0.7762,-0.0652,-0.1973,-0.279,0.2181,-0.4716,0.4172,-0.1595,-0.4358,-0.1117,0.7601,-0.7331,0.7953,-0.7258,-0.3611,0.8301,-0.7467,-0.3956,-0.1007,0.3453,-0.0789,1.208,-0.5746,-0.632,0.3469,-0.0448,-0.3535,-0.1117,-0.2862,-0.1708
"Gene1457",-0.0172,0.0299,0.0438,-0.1818,0.1035,-0.1113,0.4986,-0.2488,-0.401,-0.4818,0.3347,0.2135,0.4305,-0.123,-0.2719,-0.0616,0.0753,-0.04,-0.2672,0.0283,-0.0387,-0.2715,0.2131,-0.3777,-0.1237,-0.1175,0.5484,-0.0194,-0.5811,0.3047,0.0904,-0.1957,-0.1231,0.4367,0.2852,0.094,0.4581,0.2184,-0.1831,0.2368,0.1099,-0.2107,-0.0369,-0.0523,0.087,0.0735,0.1078,0.2012,-0.0681,-0.3946,-0.398,0.0768,0.5041,-0.1801,0.4404,-0.3708,0.0639,-0.1668,-0.146,0.0343
"Gene1458",-0.0478,-0.1119,0.0095,0.0551,-0.0463,0.1344,0.2771,-0.1477,0.3813,0.2853,0.174,0.0808,-0.3762,-0.0518,0.2842,-0.1233,-0.143,-0.0702,0.5005,-0.461,-0.4257,0.1082,-0.0402,-0.0422,0.1528,-0.0233,0.1283,-0.4674,-0.3048,-0.0971,0.2291,-0.0387,0.1321,-0.1896,0.023,0.0491,0.342,-0.3637,0.0481,-0.1259,-0.1031,0.0955,0.0938,0.0175,0.0511,0.473,-0.001,0.095,0.3558,-0.1531,-0.0553,-0.2948,0.2215,-0.2239,-0.0918,-0.0708,-0.0585,-0.0855,0.0345,0.0529
"Gene1459",-0.1892,0.3018,0.3967,-0.365,-0.3631,-0.3828,0.1642,-0.319,0.2323,-0.191,0.1106,0.5223,0.4654,0.2548,0.106,0.3651,-0.2902,-0.5343,0.4109,0.0229,-0.5271,0.112,0.0392,0.031,-0.0606,0.302,0.2211,-0.7295,-0.0936,-0.2295,-0.5241,-0.1192,0.5816,-0.5277,-0.1756,0.2169,-0.064,0.2601,0.3319,-0.5901,-1.0555,-0.5309,0.1607,-0.4681,-0.597,-0.6997,-0.1064,-0.6153,-0.2199,-0.05,-0.3381,0.2112,0.128,0.574,0.6283,-0.1244,0.0718,-0.3142,0.6222,-0.3181
"Gene1460",-0.673,-0.5249,0.1174,0.3916,0.5276,-0.3654,0.0878,0.027,0.0812,0.2713,0.0801,0.0304,-0.2393,0.5274,-0.2007,0.4706,-0.8563,-0.1098,-0.0638,0.0767,-0.4564,0.5724,0.341,0.3189,0.4468,-0.1612,-0.0492,0.2795,0.5829,-0.2011,-0.0435,-0.2088,0.1141,0.3749,-0.4288,0.4525,-0.2579,-0.5237,-0.897,-0.0751,0.4698,-0.4117,-0.2831,0.6693,0.2233,0.3632,0.4331,-0.2491,0.2999,-0.1319,-0.2789,0.475,0.7872,0.5096,-0.1872,-0.1526,0.0308,-0.3548,0.6839,0.1967
"Gene1461",-0.1242,-0.3951,0.0253,-0.5745,-0.4656,-0.6935,-0.2201,-0.2674,0.596,0.1823,0.5486,0.1277,0.9489,-0.0151,-0.271,0.6029,0.0224,-0.5743,0.0999,-0.8575,-0.8354,-0.1497,0.2531,0.464,0.0564,-0.1407,-0.1865,-0.7437,-0.1736,-0.0495,0.381,1.1917,-0.2246,0.6908,-0.5599,-0.0482,0.7405,0.0908,-0.1406,-0.1821,0.1797,-0.3846,0.2227,0.1119,-0.0774,-0.4004,-0.3207,0.351,-0.3842,0.1195,0.0527,0.4032,0.5335,0.4537,0.0872,0.2052,0.2576,0.1067,0.1776,-0.2019
"Gene1462",-0.0999,-0.9824,0.1301,-0.4255,-0.3684,0.485,0.131,1.0848,0.0479,0.9852,-0.809,0.6747,-1.0797,0.2185,-0.2291,0.7253,-0.4352,-0.988,0.4429,-0.3135,0.127,-0.4537,0.0883,-0.1387,0.2197,0.5284,0.3658,-0.6976,-0.4824,0.4905,-0.844,-0.7335,-0.3914,0.0877,-0.0411,0.1454,-0.4704,-0.3903,0.1658,-0.3324,-0.6358,0.6927,-0.1592,0.5912,-0.7908,-0.6864,0.499,0.2653,0.4379,-0.7059,-0.284,0.4222,0.3002,-0.7221,0.3022,0.5892,-1.3546,0.5115,0.2077,0.2757
"Gene1463",0.3211,0.7315,0.0047,0.1552,-0.2276,-0.7593,-9e-04,0.227,0.1921,-0.03,0.6825,0.409,0.372,-0.2781,-0.2301,-0.1902,-0.4406,-0.7218,0.6162,0.0547,-0.124,-0.1097,-0.4071,-0.0541,-0.4476,0.0284,0.0218,-0.2894,0.2916,-0.133,-0.4381,-0.2484,-0.82,0.0398,0.1977,-0.1609,-0.0384,-0.1946,-0.1261,-0.1045,0.3762,0.0599,0.0582,0.2936,0.3105,0.0903,-0.0452,-0.0939,-0.1287,-0.4184,-0.2062,0.1982,0.0258,-0.1775,0.4293,0.1063,-0.3445,0.2454,-0.416,-0.1346
"Gene1464",-0.2147,-0.2974,-0.1207,0.3089,0.5384,-0.6747,1.0852,0.1696,-0.5934,0.4164,0.2433,0.799,1.2001,-0.1655,1.2132,-0.3497,-0.7018,-0.1923,-0.4801,0.4342,-0.1895,-0.4387,-0.2336,-0.1008,-0.2826,0.7842,0.8527,-0.3195,0.0451,-0.3869,0.004,-0.5979,-0.7535,0.7614,1.0079,-0.8611,1.0299,0.9833,-0.6103,0.0979,-0.2362,0.2501,-0.3556,-0.5729,0.5739,1.3901,-0.2113,-0.3361,-0.0979,0.3115,-0.0378,-0.3499,0.5463,-0.9331,0.5092,-0.7604,-0.5333,-0.1671,-0.3534,-0.4055
