"","Donor1","Donor2","Donor3","Donor4","Donor5","Donor6","Donor7","Donor8","Donor9","Donor10","Donor11","Donor12","Donor13","Donor14","Donor15","Donor16","Donor17","Donor18","Donor19","Donor20","Donor21","Donor22","Donor23","Donor24","Donor25","Donor26","Donor27","Donor28","Donor29","Donor30","Donor31","Donor32","Donor33","Donor34","Donor35","Donor36","Donor37","Donor38","Donor39","Donor40","Donor41","Donor42","Donor43","Donor44","Donor45","Donor46","Donor47","Donor48","Donor49","Donor50","Donor51","Donor52","Donor53","Donor54","Donor55","Donor56","Donor57","Donor58","Donor59","Donor60","Donor61","Donor62","Donor63","Donor64","Donor65","Donor66","Donor67","Donor68","Donor69","Donor70","Donor71","Donor72","Donor73","Donor74","Donor75","Donor76","Donor77","Donor78","Donor79","Donor80","Donor81","Donor82","Donor83","Donor84","Donor85","Donor86","Donor87","Donor88","Donor89","Donor90","Donor91","Donor92","Donor93","Donor94","Donor95","Donor96","Donor97","Donor98","Donor99","Donor100","Donor101","Donor102","Donor103","Donor104","Donor105","Donor106","Donor107","Donor108","Donor109","Donor110","Donor111","Donor112","Donor113","Donor114","Donor115","Donor116","Donor117","Donor118","Donor119","Donor120","Donor121","Donor122","Donor123","Donor124","Donor125","Donor126","Donor127","Donor128","Donor129","Donor130","Donor131","Donor132","Donor133","Donor134","Donor135","Donor136","Donor137","Donor138","Donor139","Donor140","Donor141","Donor142","Donor143","Donor144","Donor145","Donor146","Donor147","Donor148","Donor149","Donor150","Donor151","Donor152","Donor153","Donor154","Donor155","Donor156","Donor157","Donor158","Donor159","Donor160","Donor161","Donor162","Donor163","Donor164","Donor165","Donor166","Donor167","Donor168","Donor169","Donor170","Donor171","Donor172","Donor173","Donor174","Donor175","Donor176","Donor177","Donor178","Donor179","Donor180","Donor181","Donor182","Donor183","Donor184","Donor185","Donor186","Donor187"
"ENSG00000166963.12_MAP1A",1.7537,-0.4052,1.9756,0.1019,2.6783,-1.4395,0.3836,0.174,0.0725,0.677,0.153,-0.0073,1.1262,1.0041,0.4157,2.004,-0.4349,-0.9115,-0.0267,-1.4758,-0.2671,-0.1384,-0.3928,0.0819,-1.5043,-0.4172,0.0183,-0.96,0.4671,0.4578,-0.8606,0.5923,1.3935,0.5173,0.4584,-0.3593,0.0303,-0.7145,-0.2627,-1.9815,-0.4527,-0.1378,-0.713,0.0967,-2.4908,0.1217,-0.0347,0.7471,-0.0458,2.1325,0.4713,0.3079,0.7808,-0.0542,-0.3015,-0.5182,0.1795,-0.7557,0.5305,2.2611,0.4244,0.2234,-0.3866,0.345,-1.9027,0.2874,-0.1773,-0.3187,-2.26,2.0615,-1.3602,-0.352,-0.0965,-0.2216,-0.0436,-1.8465,1.3023,0.5753,-0.4756,-0.2593,0.381,-0.1129,-0.6394,-0.9212,-0.5465,1.3726,-1.7208,0.9038,0.9326,0.349,0.7314,-0.4986,-2.3864,0.8763,0.4381,0.3134,-0.9672,0.502,1.2835,-0.2365,0.2231,-0.9071,-0.9085,-1.3523,0.0934,-0.6048,-1.0564,0.1521,-0.0342,0.8012,-0.4416,1.3607,0.3734,-1.0362,-1.377,0.1832,-0.4872,-0.5734,-0.5958,1.0988,0.0481,1.8563,0.1752,0.5268,-1.1079,-0.0043,0.2624,-0.276,-0.7204,-0.0615,-0.3042,-2.34,1.479,3.6844,0.3638,0.2005,-0.4352,-2.1301,0.7209,-0.5382,0.3588,-0.1477,0.4386,-0.0517,0.0428,-0.791,-0.2674,0.3717,1.5195,1.0267,-0.3491,0.3114,-0.4968,0.0675,-0.0166,-0.3099,-0.2074,-0.4174,-1.0585,-0.4855,0.3443,-0.1938,-0.3577,0.1361,-0.0348,0.6577,1.0251,1.1391,1.6387,-1.7459,1.0442,-0.8088,-0.9105,0.3713,0.4327,-0.6899,0.0375,-0.3195,-0.048,-0.1474,-0.1003,-0.2403,0.3439,0.0278,1.646,-0.8774,0.1057
"ENSG00000171877.20_FRMD5",-0.3103,0.0169,-0.3355,0.1721,0.1871,-1.154,0.5206,-0.3894,-0.4754,-0.2902,0.3564,-0.3448,0.067,0.4842,0.2804,0.7573,-0.4377,0.0269,-0.1894,-0.3616,-0.1546,-0.3465,-0.3641,0.5901,-0.014,-0.0398,-0.1743,-0.2421,-0.4252,-0.3403,0.8041,-0.2216,-0.28,0.5954,-0.5644,-0.3152,0.1299,0.522,-0.8427,1.0569,0.2125,-0.4949,-0.2852,0.1256,-0.4282,0.2587,-0.8627,-0.2049,0.4099,-0.3265,-0.065,0.947,0.4794,-0.1357,0.9921,0.2417,0.0986,0.574,-0.8295,-0.8022,0.5718,1.3177,-0.3241,0.219,0.2622,-1.0457,0.2914,0.8956,-0.4704,0.5394,-0.0914,-0.3756,-0.6602,-0.6876,-0.3537,2.5855,-0.7745,0.7654,0.1735,-0.4974,-0.4431,-0.075,-1.0137,0.7348,0.1467,-0.731,-0.4632,-0.3523,-0.6087,-0.575,1.0316,0.1223,-0.9756,-0.115,-0.2979,-0.2428,-0.9377,-0.0803,0.1892,-0.3033,-0.1674,-0.9552,-0.998,-0.1796,-0.5918,-0.1568,-0.1791,-0.1031,-0.4104,0.2376,1.9597,-0.4076,0.0538,0.2825,0.217,0.5771,1.0459,-0.1137,1.6668,0.0596,-0.8025,-1.0294,0.3018,-0.0031,0.2485,0.4195,-0.4459,-0.3894,-0.1169,1.1356,-0.6971,2.2619,0.9641,-0.4981,-0.221,0.3081,1.6248,2.5026,0.2877,-0.1227,0.0211,-0.034,0.062,-0.172,0.1867,-0.695,-0.04,0.0082,-0.41,1.3844,-0.4498,-0.5575,-0.2094,0.2094,-0.0806,-0.9602,0.2018,-0.0244,0.2733,-0.3682,-0.3313,1.4644,-0.1539,-0.3451,0.679,0.3498,-0.165,-0.7001,-0.3982,-0.3086,-0.6379,-0.1235,0.347,0.0441,-0.6919,-0.2903,-0.0746,-0.1659,0.2136,-0.2567,1.4554,-0.3126,-0.1056,-0.0344,-0.0134,-0.1601,-0.4054
"ENSG00000185880.12_TRIM69",0.3709,-1.1181,-0.3034,-0.2864,-0.056,-0.3927,-0.3921,-0.3553,-0.5187,-0.2885,-0.0273,-0.4457,0.8562,0.5352,-0.0681,-0.6926,-0.0721,1.0953,0.1507,-0.1407,0.3381,-0.2093,-0.7054,-0.3216,0.4743,-0.1534,0.4184,-0.2397,0.1202,-0.0884,1.5634,0.1162,-0.1699,0.1873,0.1694,-0.1161,-0.3556,-0.3694,-0.9302,0.1572,-0.2186,-0.2277,-0.3311,-0.1626,-0.5651,0.2356,-0.0497,-0.4255,0.1806,0.1181,0.0166,0.0655,-0.2612,-0.3963,-0.3491,-0.232,-0.4737,0.4465,-0.4505,-0.1529,0.3354,-0.0354,-0.5749,-0.0783,-0.1463,-0.1983,0.8402,-0.5241,-0.2552,0.6485,-0.4459,-0.1825,-0.4916,-0.2146,-0.459,-1.0868,-0.0906,-0.2485,0.2998,0.08,1.4065,-0.2016,-0.0091,-0.0801,0.3933,0.557,-0.0701,0.0819,0.0241,0.0484,0.2497,0.3275,1.3656,-0.9928,-0.2713,0.0653,-0.4569,0.2272,0.2037,-0.3376,-0.5743,-0.4853,-0.0705,0.0586,-0.5455,0.027,0.5914,0.176,-0.3674,0.8416,0.2319,-0.2305,0.4706,-0.4848,-6e-04,0.321,0.2182,0.279,0.6084,0.2364,-0.5184,0.1798,0.796,0.1822,0.6083,-0.2255,0.4215,0.2042,-0.2015,0.6771,0.2527,-0.9772,0.1435,0.2937,-0.4087,-0.2476,1.5428,0.0949,0.6088,0.6595,-0.3457,-0.5824,-0.1089,-0.1397,0.2496,0.1134,0.8311,-0.4689,-0.2291,-0.2102,0.0994,-0.2503,-0.1695,0.4323,-0.2979,-0.5905,1.4103,-0.1642,-0.0646,-0.4368,0.0966,1.9545,0.5663,-0.4226,0.2944,0.0642,-0.1857,0.3112,-0.4425,-0.2994,-0.3993,-0.0513,-0.0476,-0.1355,0.0463,-0.181,0.1939,0.0147,-0.3888,0.4807,1.3228,-0.2515,-0.7374,-0.7,0.585,-0.2508,-0.1077
"ENSG00000140263.13_SORD",-0.0342,-0.1268,0.2297,-0.256,-0.5756,-0.8021,-0.1298,0.4553,0.4823,-0.9429,0.7982,-0.4843,0.2095,-0.189,0.5514,0.2464,0.15,-0.5659,0.3287,-0.083,0.1262,-0.0848,0.0706,0.7051,0.2054,0.4843,0.1577,-0.1246,-0.0453,-0.0946,-0.2599,-0.8683,0.0183,1.2507,-0.2577,-0.9262,0.3666,0.8428,-0.9096,0.1389,0.5524,-0.5481,0.0979,0.3215,-0.6278,-0.0214,-1.5634,0.1568,0.6325,-1.071,-0.5937,0.0312,0.9935,0.4608,1.0856,0.6303,0.5927,-0.214,0.1625,-0.1404,-0.0868,0.2228,0.0709,-0.8084,-0.796,-0.5957,-0.3711,0.2096,-0.2133,-0.9262,-0.1645,-0.6614,-0.1954,-0.2861,0.5423,0.8205,0.2057,0.569,-0.2222,-0.229,-0.036,-0.4044,-1.4985,0.861,1.0553,-0.2113,-0.8944,-0.9129,-0.5419,0.4985,0.0032,-0.208,-0.8647,-0.2961,-0.1566,0.5368,-0.3194,0.441,-0.3189,-0.0661,0.5281,-1.0055,-0.4037,0.7857,-0.5027,0.1024,-1.1175,-0.1741,-0.6022,0.3544,0.3696,-0.3351,0.0675,0.5094,0.0606,0.5146,0.1507,0.3213,1.1799,0.0398,-0.1571,-0.1545,-0.3049,0.6547,-0.2391,0.325,-0.096,0.2352,0.4267,0.5169,0.0045,0.2447,-0.603,-0.5874,0.4164,0.0762,-0.2391,0.1166,0.6125,-0.6809,-0.9794,0.2587,0.7499,-0.2208,0.3366,-0.2231,0.2568,0.2075,0.0213,1.0011,0.7219,-1.0407,0.1945,0.6174,0.8214,0.3396,-0.2676,-0.1091,-0.1026,-0.3069,0.1858,0.9919,-0.5337,-0.3085,0.3939,0.7544,-0.1349,0.3236,-0.1495,-0.6078,-0.9142,0.4205,0.3027,0.4976,-0.5727,-0.9021,0.7515,-0.1336,0.5314,0.3321,0.8894,0.4447,-0.3543,0.0956,-0.3338,-0.8465,0.4425
"ENSG00000137857.17_DUOX1",-0.5702,-0.7008,2.021,-0.3931,0.4115,0.3507,-0.0811,-1.6635,0.1803,-0.928,-1.9793,0.07,-1.0661,-1.4308,0.0497,-1.4593,0.5901,-0.9197,0.0905,0.9436,0.4369,0.4865,1.1844,-0.2648,1.2575,-0.2059,1.7876,-0.8501,1.5232,-0.1205,-0.8034,0.2617,-0.5156,-1.7348,0.2116,-0.1362,0.938,0.9925,0.2592,0.3473,2.1036,-0.168,1.221,-0.5582,0.5744,0.9332,0.684,-0.0168,0.7117,0.7174,0.4885,0.3652,1.4559,0.6602,0.3895,0.5388,0.8767,0.5511,1.0101,0.4219,0.1592,0.6742,-0.1667,-0.8456,-1.5913,-0.4071,-1.2216,-0.6199,-0.8145,-1.9278,0.1573,-0.2386,0.3686,0.696,0.1462,-0.4402,-0.8516,0.622,0.5108,0.4316,0.3624,0.123,0.1211,-0.7013,-0.8316,0.0308,0.6626,0.5269,-0.3598,-0.3164,-0.2826,0.3187,0.7459,0.0809,-0.595,0.5611,0.7028,0.0749,-2.5359,-0.4691,0.0842,-2.4829,1.2553,0.1272,-0.4043,0.3725,1.4226,-0.1002,0.3791,0.7872,-2.4115,1.3375,1.0166,-1.285,0.3536,-0.1649,-0.9704,-0.1323,-0.4878,-0.8708,-1.5143,-0.4955,-0.5695,-0.7064,-0.7296,1.2221,1.0239,1.447,-0.079,-0.7653,0.5744,-1.2023,-1.0177,-0.8593,-0.0394,0.0766,-1.2648,-2.266,0.2279,0.834,0.6676,0.1873,-0.3816,0.3646,0.0728,0.2138,0.191,-0.0244,-0.0552,-1.6948,1.6773,-0.919,0.215,0.8831,-0.284,0.8626,0.004,0.0477,-1.1918,-0.0371,0.0493,0.0298,-2.7838,0.3238,-0.2574,0.5768,-0.1113,-1.1402,0.5098,0.4157,-0.9249,0.9637,-0.4152,-0.5572,1.1422,1.0927,1.1679,0.1588,0.3533,0.2687,-1.6025,1.224,0.4359,0.0555,0.9291,0.2321,0.9509
"ENSG00000138606.19_SHF",-0.1552,0.9611,0.4217,-0.332,0.5811,1.7765,-0.9095,0.8318,-0.2823,0.0832,-1.0628,0.5023,-0.9243,-1.1492,-0.5535,0.5717,1.0643,0.8973,-1.0638,0.0934,-0.0944,0.5358,1.1432,-0.8535,-0.6032,-0.6526,0.5569,0.7654,0.1282,0.5642,-0.04,-0.0341,0.0633,-1.7237,-0.0942,-0.3801,0.0746,0.2626,1.4507,1.0462,-0.5326,0.6025,0.1692,0.0924,1.1175,-0.9325,0.3464,0.6077,-0.1633,1.0271,-0.1201,-0.9029,-0.7858,0.0764,0.0991,0.0723,0.0042,-7e-04,-0.0759,1.7073,-1.32,0.1525,-0.2492,-0.2314,-1.0235,0.0017,-1.2364,-0.5508,1.302,0.9639,1.5987,-0.0388,0.739,0.8564,-0.896,-0.9828,-0.1929,-0.4434,-0.3114,0.8672,-0.5598,0.2603,1.3747,-0.582,-0.8589,-0.8781,0.6805,0.225,0.535,0.5828,-1.0191,-0.2804,1.8725,0.3651,0.5301,-1.4614,1.0653,-1.6971,0.0613,-0.3106,0.0391,0.1829,1.074,-0.185,-0.9782,-0.0174,1.2804,-0.5725,0.0212,0.1229,-1.3187,0.3886,0.551,-0.3037,0.7275,-0.9212,-1.0423,-0.3788,-1.1917,0.1637,0.1609,1.3983,-0.88,-0.8184,-0.4085,0.3085,-0.1943,0.6432,-0.1956,-0.4232,0.7782,-0.7805,0.0792,1.6416,-0.4351,-0.1903,-0.6289,0.0213,-0.3198,0.5348,-0.4867,0.3175,-1.4222,0.19,-0.9007,0.6161,-0.2211,-1.0771,0.7606,-0.2205,0.6221,-0.5284,0.1292,-1.0367,-0.0552,0.7026,-0.5576,0.1864,-0.3578,0.436,-0.5767,-0.3832,-0.223,0.2224,-0.4947,0.8136,-0.0168,0.2024,-0.1948,0.744,0.3567,0.1184,0.007,0.2115,-0.1954,1.1803,-0.1368,-0.0112,0.2995,0.8601,-0.9382,-0.1531,-1.0837,-1.0127,-0.3046,0.6198,0.2748
"ENSG00000171766.15_GATM",0.0041,0.1639,-0.587,0.2156,-0.1296,-0.0417,0.5521,0.416,0.3871,0.0908,-0.9512,0.1952,-1.219,-0.2305,-0.0698,-1.1329,-0.2086,0.3647,0.3325,0.6788,0.2239,0.1035,0.2567,-0.3307,-0.6258,-0.0576,-0.5175,-0.1124,-0.0095,0.0976,0.1127,0.4533,-0.0409,-0.7528,0.198,0.6691,0.4106,0.1396,0.5654,-0.3025,-0.5069,-0.0362,0.5644,-0.2755,-0.5904,0.5159,0.1561,0.0706,-0.1794,-0.6044,0.2481,-0.8616,0.5231,-0.0383,0.9284,0.5258,0.5997,-0.2996,0.4699,0.2987,-0.315,0.4453,0.1598,-0.2226,-0.4784,0.0846,-0.0872,0.3214,-0.5638,0.6318,0.1141,-0.3424,1.1622,0.0823,0.2405,-2.4948,0.1764,0.8151,0.9531,1.0186,-0.6855,-0.1313,0.1376,0.2054,0.3884,-0.535,-1.1197,0.0734,0.3517,0.3001,-1.7673,0.4984,-0.2506,-0.0117,0.3238,-0.6354,0.6134,0.1585,-0.6856,0.4712,0.1017,-0.1323,1.1282,-0.1868,0.5683,0.9873,-0.2596,0.421,-0.2387,-0.1602,-1.6501,-0.1241,0.3801,-0.6243,0.6216,-0.3458,0.0656,0.7644,-1.1803,-0.232,0.6406,0.1851,-1.107,-0.1497,0.0371,0.3157,-0.4882,0.1137,-0.2928,-0.9613,0.2157,-2.2755,0.0938,-0.2739,-0.0107,-0.9866,-1.1588,-1.0456,-1.0332,-0.0359,0.5433,-0.488,-0.7989,0.0673,0.0568,-0.2784,0.5919,0.0779,-0.0102,0.0359,-0.2683,-0.2227,0.4596,0.2292,-0.4625,-0.7484,0.5126,1.074,0.4065,-0.6116,-0.1799,-0.4531,-0.3968,0.2759,-0.6003,0.5657,-0.2953,0.381,-0.3128,0.8215,0.1229,0.6729,0.0604,0.5973,-0.095,0.6798,0.6186,0.8732,0.5707,0.5398,0.2172,0.9873,0.9893,-0.0191,-0.5583,1.1621,0.7028
"ENSG00000166147.13_FBN1",0.0477,-0.4392,0.1264,-0.0657,0.7733,-0.2464,-0.4574,0.1599,0.3735,-0.2444,-0.201,0.204,0.491,-0.4868,0.4162,-0.3415,0.578,-0.4974,0.5002,-0.2871,0.32,-0.0684,-0.0456,0.2588,-0.97,0.5514,-0.0855,0.3706,0.2238,0.07,0.0593,0.5494,0.2011,0.4006,0.1571,-0.1958,0.6991,-0.5468,-0.094,-1.3283,0.2011,0.2629,0.0739,-0.2995,-1.22,-0.5088,-0.2897,0.5006,0.4978,-0.0422,-0.1764,-0.0378,0.2485,0.8433,0.0869,0.3805,0.2017,0.7469,0.4827,0.0775,0.728,0.2659,-0.63,0.4164,-0.7947,0.5879,-0.2305,-0.4233,-1.0474,-1.1695,-0.5101,-0.1784,0.98,0.686,0.1483,-0.6884,0.7419,-0.5414,0.7437,0.0505,-0.1034,0.3322,0.3334,-0.5213,0.5102,0.3919,-1.3751,-1.098,-0.3903,0.946,0.0804,-0.1404,-0.8856,0.5429,0.2387,-0.2559,-0.5447,0.6048,0.6456,0.7266,-0.0141,-0.655,-0.0652,0.3125,0.5759,-0.4743,-0.2369,0.5101,0.148,0.8284,-0.2148,-0.8053,0.5649,-0.2505,0.083,0.2362,-0.2599,-8e-04,-0.6714,-0.2885,0.0277,-0.4098,0.0399,-0.1722,-0.8491,0.237,-0.3072,0.3826,-0.2547,0.376,0.5302,-1.0293,-0.198,-0.7223,0.6462,-0.04,-0.1477,-1.4183,-0.3629,-0.3026,0.4398,-0.1308,0.3815,0.2797,0.1814,0.2713,0.3837,0.2546,-0.34,0.6024,0.1658,0.0046,-0.1665,-0.2892,0.3861,0.1414,0.4591,-0.6268,-0.5809,0.1713,0.3332,-0.3935,0.3029,-0.0352,-0.2638,-0.2004,0.2323,-0.1092,0.0456,-0.4398,-0.2859,0.6692,0.3549,0.3824,-0.1422,0.0324,0.6045,-0.2087,0.129,-0.1704,-0.2701,0.0936,-0.3601,0.1933,-0.1131,0.2486,-0.0977
"ENSG00000140284.10_SLC27A2",-0.3524,0.4616,1.1151,-1.5081,-0.0016,-4.3638,0.2062,-0.6722,1.6141,-0.3103,0.0919,1.7818,1.6575,1.0491,-0.9811,-3.8208,-0.6999,-1.9045,1.4875,0.6163,2.5678,1.0579,-0.8199,0.8886,-0.2423,1.869,2.4313,-4.3908,2.1225,1.7246,-0.5163,0.8217,-1.0867,-1.3793,1.0531,1.4678,-0.7775,-1.138,-1.9668,-3.4945,0.1404,-1.522,0.6788,-0.298,-4.1631,1.8865,2.6076,-0.5498,2.1967,-1.8373,0.5128,-0.4112,2.2462,-1.393,0.5776,1.5035,-0.7223,-0.8118,0.9486,0.6522,0.367,-0.5705,0.5301,0.938,-3.1905,-1.276,0.5048,-0.3355,-4.9218,0.7225,-2.1392,0.3086,-0.5152,-0.4758,1.7207,-3.1989,-0.5659,2.859,1.2947,-1.5983,1.869,0.7168,-0.7025,-0.6486,0.5934,-0.7921,-2.9056,0.93,2.5739,-0.7807,3.325,0.0803,-2.2993,-1.7325,0.1586,1.3346,-1.4639,2.3854,1.0438,-0.9995,-0.9668,0.1796,-0.5408,-1.5505,-0.4726,0.4983,-2.2223,-0.1835,-0.7912,2.0214,-4.5037,2.6331,0.9477,-2.8176,-0.2852,-1.321,2.1668,-0.8313,-1.3569,1.4046,1.7814,0.0787,2.633,1.1077,-2.5545,-1.7179,2.3173,1.8004,1.5996,-0.1168,-0.3671,-2.6098,-1.68,0.3634,0.0022,0.1208,-0.0688,-4.4003,-0.5114,-1.0829,1.6961,0.3463,2.1856,-0.6661,0.624,0.746,2.1127,-0.1161,1.1244,-1.9999,0.8954,-0.0109,-0.3741,1.8612,-2.225,0.7856,0.459,-0.9939,-0.4445,-1.3406,-0.3392,0.4689,-1.4668,0.7245,-1.1972,-0.4139,-0.2236,1.7196,1.1589,0.5818,2.0586,0.3185,-2.458,-1.2142,1.834,-0.2894,2.2074,2.0854,-0.0661,0.1072,0.9487,2.3587,1.9731,1.3631,2.5863,-0.1129,0.8728
"ENSG00000244879.6_GABPB1-AS1",0.2848,-0.944,0.731,-1.8934,0.1606,1.1555,0.4349,0.2449,0.9927,-0.5744,-0.2999,1.16,-0.3928,0.9524,0.9409,-0.4083,-0.1525,-2.0668,0.2041,-0.6919,-1.4554,-0.4749,0.3248,0.0552,-0.7893,0.8533,0.4768,-0.7702,0.8742,1.0892,-1.4069,-0.6775,0.1639,-0.2613,-1.2183,-0.8941,-0.5811,-0.6869,-0.0636,1.2947,-0.7451,-0.3302,-0.33,1.0825,1.9893,0.2141,-0.3225,-0.4736,-0.0201,-0.2858,1.1891,-0.8558,0.4067,1.2333,-1.0689,0.2633,0.4508,0.4902,1.0109,0.7512,0.1987,0.8803,1.5389,-0.7424,-0.6154,0.9877,1.3685,0.8622,0.9137,0.0134,0.4759,0.9301,0.1403,0.7694,0.4304,-1.0544,0.6288,-0.5518,-1.1823,-0.2853,-1.7891,0.8942,1.4087,0.7136,1.1042,0.8899,0.6187,-0.2006,1.0795,1.1007,-1.6561,1.0552,-0.3993,-0.7792,1.3795,0.2789,0.3133,0.9009,-0.9157,-0.7527,0.3491,-0.3086,-0.1961,0.4891,-0.4813,-0.461,0.7669,-0.2378,0.9676,0.3887,-0.9234,0.5091,0.8267,0.1311,-1.2622,-1.3808,-0.4604,-0.075,-0.9751,-0.1571,1.1789,0.6976,0.3587,0.5417,-0.1114,-0.6098,-0.1246,-0.9339,-0.8568,0.3231,-1.1602,-0.3871,-0.5747,0.9779,0.3519,-9e-04,-0.9243,-0.41,-0.2993,-0.4071,0.4199,-0.926,-1.1892,0.0775,-0.9697,1.3068,0.3165,0.9786,-0.7242,0.1063,0.6596,0.4171,1.0266,-0.0241,0.3194,-0.6819,-0.6363,0.3339,0.5192,-0.7575,0.0717,-1.566,0.235,-0.8177,0.1376,-0.1766,-0.6993,-1.4741,0.9024,0.6479,-0.3454,0.2555,-0.7277,-0.8657,0.2756,-0.8737,-0.4839,0.9674,-0.9322,-1.2765,-0.3406,0.1115,-1.0694,0.2691,-0.5457,1.0017,0.3161
"ENSG00000128872.9_TMOD2",0.4654,-0.3323,0.8632,-0.0367,1.6876,0.5146,-0.2941,-0.499,-0.3274,0.2123,0.1565,-0.2169,-0.7392,-0.1899,-0.0054,1.2538,-0.3893,0.1678,-0.1981,-0.4174,0.1646,-0.6397,-0.5193,0.0999,0.0931,-0.7078,-0.812,0.5603,-0.0634,-0.2768,0.0865,0.1589,0.3348,-0.5548,-0.4862,0.2297,0.2151,-0.5132,-0.0067,-0.5785,0.2341,-0.4128,-0.8175,-0.4237,0.05,-0.3983,0.133,0.1721,0.0174,1.7544,0.1032,0.25,0.2752,-0.4235,-0.7773,-0.1548,-0.0069,-0.1285,-0.2003,1.1133,0.277,0.4366,-0.2149,0.4209,1.2163,-0.1173,0.3145,0.3842,0.296,1.8064,-0.3073,-0.1148,-0.0945,0.6698,0.1754,-1.6046,0.802,-0.9926,0.1959,0.5404,-0.5842,-0.1631,0.0933,0.126,-0.0804,0.8687,-0.0799,0.9246,-0.0181,-0.2014,-0.1454,0.168,-0.1952,0.3196,-0.094,-0.0918,-0.2084,-0.1305,-0.0477,0.0346,0.5092,-0.3443,0.2544,-0.1298,0.4171,-0.7204,-0.4952,0.517,-0.0489,0.0414,0.6891,0.0761,0.2515,0.1041,-0.1503,0.2711,0.1483,-0.3077,-0.5539,-0.1951,-0.5834,0.9591,0.1609,-0.1801,0.0282,-0.3746,-0.1661,-0.6024,0.2004,-0.7423,-0.124,-1.701,1.0277,1.9927,0.5192,-0.4322,0.3066,0.0566,0.313,0.2533,0.0126,-0.7698,-0.5005,-0.3223,-0.1104,-0.2349,-0.2549,0.1247,0.3341,0.2509,0.3483,-0.2455,0.0051,-0.2996,-0.2771,-0.5374,-0.1733,-0.2909,0.1047,-0.7744,-0.5344,0.0813,-0.2744,-1.2452,0.3657,0.4374,0.5779,-0.513,1.1212,-0.5021,0.2709,-0.4898,-0.2857,0.3356,-0.0551,-0.4512,-0.3117,0.0243,0.008,0.0606,-0.1814,-0.2687,-0.3104,-0.239,1.1248,-0.0437,0.2598
"ENSG00000263155.5_MYZAP",0.719,0.4658,0.6482,-0.3065,-0.0568,-2.4129,0.4218,0.4521,0.5949,0.374,-0.4098,-0.2247,0.3971,0.1145,0.167,-1.0156,0.0189,-0.5759,0.0807,0.6864,-0.2512,0.4425,0.0476,-0.0154,-0.6431,0.4496,-1.0748,-0.5798,0.0601,0.3463,-0.365,0.1866,0.767,-0.1548,0.0602,0.1591,0.2744,0.5192,-0.9338,-0.8268,-0.0186,0.303,1.2195,-0.0459,-0.6913,0.2671,0.6653,0.2948,0.0775,-1.0479,-0.1908,-0.1462,0.0904,0.2638,0.4301,0.4186,0.0852,0.1372,0.8979,-0.2584,-0.5891,-0.0195,0.3746,-0.0993,-0.9304,0.3247,-0.3003,0.8237,-1.5918,-1.7209,-0.6017,0.1769,0.5259,-0.619,1.3719,-1.5354,1.0465,1.3597,-0.2676,-0.0115,0.5292,0.3889,-1.5606,-0.172,-0.6276,-1.2812,-1.1744,-0.0243,0.5085,1.1064,1.018,-0.3749,-1.1225,0.5272,-0.6683,0.4432,0.0365,0.1494,0.6261,0.5361,0.3549,0.7045,-0.476,1.2471,0.698,0.4858,-1.2318,0.3968,0.5715,0.2785,-2.8508,-0.269,-0.9643,0.0343,-0.5471,0.5385,0.2759,1.5646,-0.7002,-0.3096,-0.0933,0.4007,-1.4118,-0.7803,-1.459,0.2306,-0.2924,-0.5086,0.5435,-0.2634,0.3326,0.0406,-0.9932,-0.8641,0.931,0.895,-1.1286,-0.1172,-0.4812,-1.9219,0.4604,0.1298,0.2228,0.119,0.2388,0.1785,0.1168,1.0949,-0.3798,0.4949,-0.2777,-0.4691,-0.9714,-0.0974,0.365,0.5726,-0.1935,-0.002,0.3519,1.3009,1.1938,-0.4273,0.1301,0.739,0.3374,0.511,-0.4344,0.6035,0.0813,-0.3296,0.4937,0.5679,-0.1664,0.2488,0.33,-1.143,-0.1976,-0.416,0.1322,0.0295,0.5055,0.8407,0.8786,1.019,0.2767,0.3676,-0.2263
